0,CMSWInjectionsID,0
1,CMSWCasesID,1
2,TimeStamp,2
3,SyringeRevision,3
4,PMDVRevision,4
5,SyringeAddress,5
6,PMDVAddress,6
7,IsDeviceReplacement,7
8,IsAnInjection,8
9,IsAspiratingContrast,9
10,DyeVertDiameter,10
11,SyringeDiameter,11
12,StartingSyringePosition,12
13,EndingSyringePosition,13
14,LinearSyringeMovement,14
15,SyringeVolumeInjectedOrAspirated,15
16,StartingDyeVertPosition,16
17,EndingDyeVertPosition,17
18,LinearDyeVertMovement,18
19,DyeVertVolumeDiverted,19
20,DyeVertContrastVolumeDiverted,20
21,PercentContrastSaved,21
22,InjectionVolumeToPatient,22
23,ContrastVolumeToPatient,23
24,CumulativeContrastVolumeToPatient,24
25,otherVolumeToPatient,25
26,PercentInjectionVolumeDiverted,26
27,StartingContrastPercentInSyringe,27
28,EndingContrastPercentInSyringe,28
29,StartingContrastPercentInDyeVert,29
30,EndingContrastPercentInDyeVert,30
31,Duration,31
32,FlowRateToFromSyringe,32
33,FlowRateToPatient,33
34,PredominantContrastLinePressure,34
35,StartingDyeVertStopcockPosition,35
36,IsSystemPaused,36
